# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      264 |    34718 |      241 | 1.28e-01 | 9.13e-01 ||  2.4 |  97.1 |  0.5 |   20.55 |    6.85 |  1195.94 ||    15.89 | 00h00'00
#  0.10 |      248 |    25495 |      206 | 1.00e-01 | 8.31e-01 ||  2.7 |  96.7 |  0.6 |   25.45 |    8.48 |   965.59 ||    67.38 | 00h00'00
   0.20 |      288 |    19479 |      189 | 6.61e-02 | 6.56e-01 ||  2.8 |  96.7 |  0.6 |   26.51 |    8.84 |   927.12 ||   113.01 | 00h00'00
#  0.30 |      280 |    13650 |      142 | 4.76e-02 | 5.07e-01 ||  2.9 |  96.5 |  0.6 |   29.18 |    9.73 |   842.32 ||    98.51 | 00h00'00
   0.40 |      440 |    12409 |      154 | 2.75e-02 | 3.50e-01 ||  2.7 |  96.7 |  0.6 |   24.47 |    8.16 |  1004.48 ||   159.96 | 00h00'00
#  0.50 |      640 |     8953 |      131 | 1.37e-02 | 2.05e-01 ||  2.9 |  96.5 |  0.6 |   29.76 |    9.92 |   825.82 ||   153.80 | 00h00'00
   0.60 |      944 |     6801 |      115 | 7.04e-03 | 1.22e-01 ||  2.8 |  96.6 |  0.6 |   26.83 |    8.94 |   916.03 ||   160.23 | 00h00'00
#  0.70 |     2616 |     6296 |      110 | 2.35e-03 | 4.20e-02 ||  2.5 |  97.0 |  0.5 |   19.78 |    6.59 |  1242.62 ||   194.18 | 00h00'00
   0.80 |     5208 |     5342 |      108 | 1.00e-03 | 2.07e-02 ||  2.5 |  96.9 |  0.5 |   19.16 |    6.39 |  1282.95 ||   196.69 | 00h00'00
#  0.90 |    14776 |     5123 |      102 | 3.39e-04 | 6.90e-03 ||  2.6 |  96.8 |  0.6 |   18.99 |    6.33 |  1294.25 ||   208.53 | 00h00'00
   1.00 |    57344 |     4421 |      101 | 7.53e-05 | 1.76e-03 ||  2.7 |  96.8 |  0.6 |   18.25 |    6.08 |  1346.34 ||   208.39 | 00h00'00
#  1.10 |   212656 |     3851 |      101 | 1.77e-05 | 4.75e-04 ||  2.7 |  96.8 |  0.6 |   18.23 |    6.08 |  1348.45 ||   208.80 | 00h00'03
   1.20 |  1075072 |     2412 |      100 | 2.19e-06 | 9.30e-05 ||  2.7 |  96.7 |  0.6 |   18.52 |    6.17 |  1326.88 ||   210.82 | 00h00'15
#  1.30 |  3962448 |     2262 |      100 | 5.57e-07 | 2.52e-05 ||  2.7 |  96.8 |  0.5 |   18.18 |    6.06 |  1351.64 ||   208.63 | 00h00'58
   1.40 | 10825560 |      766 |      100 | 6.91e-08 | 9.24e-06 ||  2.7 |  96.8 |  0.6 |   18.05 |    6.02 |  1361.28 ||   206.64 | 00h02'40
#  1.50 | 17664096 |      535 |      100 | 2.96e-08 | 5.66e-06 ||  2.6 |  96.8 |  0.6 |   17.70 |    5.90 |  1388.26 ||   203.88 | 00h04'26
   1.60 | 28709232 |      268 |      100 | 9.12e-09 | 3.48e-06 ||  2.6 |  96.8 |  0.6 |   17.87 |    5.96 |  1374.91 ||   205.34 | 00h07'09
#  1.70 | 51800088 |      261 |      100 | 4.92e-09 | 1.93e-06 ||  2.7 |  96.7 |  0.6 |   17.82 |    5.94 |  1379.30 ||   204.50 | 00h12'58
   1.80 | 78474320 |      263 |      100 | 3.27e-09 | 1.27e-06 ||  2.7 |  96.8 |  0.6 |   18.15 |    6.05 |  1354.01 ||   206.49 | 00h19'27
#  1.90 | 97841512 |      251 |      100 | 2.51e-09 | 1.02e-06 ||  2.7 |  96.8 |  0.6 |   17.88 |    5.96 |  1374.69 ||   204.95 | 00h24'26
   2.00 | 1.49e+08 |      217 |      100 | 1.42e-09 | 6.72e-07 ||  2.7 |  96.8 |  0.6 |   18.06 |    6.02 |  1360.71 ||   205.82 | 00h37'01
#  2.10 | 2.29e+08 |      208 |      100 | 8.87e-10 | 4.37e-07 ||  2.7 |  96.7 |  0.6 |   18.00 |    6.00 |  1365.35 ||   205.57 | 00h57'00
#  2.20 | 3.53e+08 |      201 |      100 | 5.56e-10 | 2.83e-07 ||  2.6 |  96.8 |  0.6 |   17.99 |    6.00 |  1366.18 ||   205.91 | 01h27'49
#  2.30 | 4.72e+08 |      192 |      100 | 3.97e-10 | 2.12e-07 ||  2.7 |  96.8 |  0.6 |   17.95 |    5.98 |  1369.23 ||   205.28 | 01h57'39
#  2.40 | 7.09e+08 |      196 |      100 | 2.70e-10 | 1.41e-07 ||  2.6 |  96.8 |  0.6 |   17.53 |    5.84 |  1401.71 ||   203.07 | 02h58'52
#  2.50 | 1.11e+09 |      175 |      100 | 1.54e-10 | 9.00e-08 ||  2.7 |  96.8 |  0.6 |   17.98 |    5.99 |  1367.03 ||   205.59 | 04h36'39


"int-16 Q_{5,3}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      224 |    33731 |      209 | 1.47e-01 | 9.33e-01 ||  3.1 |  96.3 |  0.6 |   29.81 |    9.94 |   824.54 ||    10.44 | 00h00'00
#  0.10 |      232 |    27976 |      204 | 1.18e-01 | 8.79e-01 ||  2.9 |  96.5 |  0.6 |   27.60 |    9.20 |   890.36 ||    48.19 | 00h00'00
   0.20 |      272 |    25700 |      214 | 9.23e-02 | 7.87e-01 ||  2.8 |  96.6 |  0.6 |   22.87 |    7.62 |  1074.71 ||    65.30 | 00h00'00
#  0.30 |      288 |    20972 |      188 | 7.11e-02 | 6.53e-01 ||  2.8 |  96.6 |  0.6 |   23.34 |    7.78 |  1053.06 ||   108.94 | 00h00'00
   0.40 |      344 |    15991 |      159 | 4.54e-02 | 4.62e-01 ||  3.2 |  96.2 |  0.6 |   35.70 |   11.90 |   688.38 ||   114.02 | 00h00'00
#  0.50 |      392 |    11128 |      125 | 2.77e-02 | 3.19e-01 ||  3.1 |  96.4 |  0.6 |   29.64 |    9.88 |   829.24 ||   109.95 | 00h00'00
   0.60 |      680 |     9870 |      129 | 1.42e-02 | 1.90e-01 ||  2.8 |  96.6 |  0.6 |   24.14 |    8.05 |  1018.09 ||   140.47 | 00h00'00
#  0.70 |     1392 |     8679 |      120 | 6.09e-03 | 8.62e-02 ||  2.4 |  97.0 |  0.5 |   18.90 |    6.30 |  1300.47 ||   177.35 | 00h00'00
   0.80 |     3640 |     6393 |      109 | 1.72e-03 | 2.99e-02 ||  4.7 |  94.9 |  0.4 |   15.89 |    5.30 |  1546.38 ||   201.11 | 00h00'00
#  0.90 |     9304 |     4829 |      102 | 5.07e-04 | 1.10e-02 ||  2.0 |  97.5 |  0.5 |   15.99 |    5.33 |  1537.26 ||   211.63 | 00h00'00
   1.00 |    27776 |     4511 |      100 | 1.59e-04 | 3.60e-03 ||  2.4 |  97.2 |  0.4 |   14.62 |    4.87 |  1680.48 ||   216.12 | 00h00'00
#  1.10 |    93376 |     4394 |      100 | 4.60e-05 | 1.07e-03 ||  2.8 |  96.7 |  0.5 |   14.63 |    4.88 |  1679.35 ||   216.82 | 00h00'01
   1.20 |   593448 |     4120 |      101 | 6.78e-06 | 1.70e-04 ||  2.7 |  96.7 |  0.5 |   14.38 |    4.79 |  1709.04 ||   218.25 | 00h00'08
#  1.30 |  2419656 |     2710 |      100 | 1.09e-06 | 4.13e-05 ||  2.5 |  96.9 |  0.6 |   14.36 |    4.79 |  1711.07 ||   217.81 | 00h00'34
   1.40 |  8657488 |     1143 |      100 | 1.29e-07 | 1.16e-05 ||  2.6 |  96.8 |  0.6 |   14.20 |    4.73 |  1730.44 ||   215.35 | 00h02'03
#  1.50 | 22147992 |      460 |      100 | 2.03e-08 | 4.52e-06 ||  2.5 |  96.9 |  0.6 |   14.14 |    4.71 |  1738.60 ||   213.75 | 00h05'18
   1.60 | 39131000 |      389 |      100 | 9.71e-09 | 2.56e-06 ||  2.6 |  96.9 |  0.6 |   14.13 |    4.71 |  1739.19 ||   214.04 | 00h09'21
#  1.70 | 55398560 |      261 |      100 | 4.60e-09 | 1.81e-06 ||  2.5 |  96.9 |  0.6 |   14.16 |    4.72 |  1735.08 ||   214.14 | 00h13'14
   1.80 | 1.03e+08 |      217 |      100 | 2.05e-09 | 9.69e-07 ||  2.5 |  96.9 |  0.6 |   14.08 |    4.69 |  1745.36 ||   213.43 | 00h24'45
#  1.90 | 1.33e+08 |      212 |      100 | 1.56e-09 | 7.54e-07 ||  2.6 |  96.9 |  0.6 |   14.10 |    4.70 |  1743.52 ||   213.49 | 00h31'49
   2.00 | 1.90e+08 |      225 |      100 | 1.15e-09 | 5.25e-07 ||  2.6 |  96.9 |  0.6 |   14.11 |    4.70 |  1741.39 ||   213.64 | 00h45'37
#  2.10 | 2.19e+08 |      201 |      100 | 8.98e-10 | 4.57e-07 ||  2.6 |  96.9 |  0.6 |   14.12 |    4.71 |  1740.35 ||   213.73 | 00h52'23
#  2.20 | 4.30e+08 |      191 |      100 | 4.34e-10 | 2.33e-07 ||  2.6 |  96.9 |  0.6 |   14.12 |    4.71 |  1740.74 ||   213.67 | 01h42'58
#  2.30 | 6.86e+08 |      185 |      100 | 2.63e-10 | 1.46e-07 ||  2.6 |  96.9 |  0.6 |   14.11 |    4.70 |  1741.18 ||   213.70 | 02h44'25
#  2.40 | 1.05e+09 |      179 |      100 | 1.67e-10 | 9.56e-08 ||  2.6 |  96.9 |  0.6 |   14.14 |    4.71 |  1737.87 ||   213.82 | 04h10'20
#  2.50 | 1.62e+09 |      198 |      100 | 1.19e-10 | 6.17e-08 ||  2.6 |  96.9 |  0.6 |   14.09 |    4.70 |  1744.58 ||   213.16 | 06h29'07


"int-8 Q_{5,4}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      432 |    53659 |      401 | 1.21e-01 | 9.28e-01 || 13.5 |  83.5 |  3.0 |   44.03 |   14.68 |  1116.44 ||    52.56 | 00h00'00
#  0.10 |      352 |    29901 |      276 | 8.30e-02 | 7.84e-01 || 13.8 |  83.2 |  3.0 |   59.79 |   19.93 |   822.04 ||   132.41 | 00h00'00
   0.20 |      512 |    38695 |      360 | 7.38e-02 | 7.03e-01 || 13.7 |  83.3 |  3.1 |   48.30 |   16.10 |  1017.53 ||   161.09 | 00h00'00
#  0.30 |      592 |    29576 |      333 | 4.88e-02 | 5.62e-01 || 14.4 |  82.6 |  3.0 |   47.01 |   15.67 |  1045.62 ||   182.73 | 00h00'00
   0.40 |      640 |    19239 |      247 | 2.94e-02 | 3.86e-01 || 13.6 |  83.4 |  3.0 |   44.78 |   14.93 |  1097.57 ||   162.08 | 00h00'00
#  0.50 |      880 |    15052 |      204 | 1.67e-02 | 2.32e-01 || 13.5 |  83.7 |  2.9 |   39.45 |   13.15 |  1246.06 ||   224.14 | 00h00'00
   0.60 |     1280 |     9899 |      151 | 7.55e-03 | 1.18e-01 || 13.6 |  83.4 |  3.0 |   41.33 |   13.78 |  1189.19 ||   239.11 | 00h00'00
#  0.70 |     2560 |     6683 |      127 | 2.55e-03 | 4.96e-02 || 13.8 |  83.2 |  3.0 |   44.69 |   14.90 |  1099.90 ||   274.44 | 00h00'00
   0.80 |     5136 |     4715 |      110 | 8.97e-04 | 2.14e-02 || 13.5 |  83.4 |  3.0 |   37.58 |   12.53 |  1307.83 ||   294.55 | 00h00'00
#  0.90 |    11632 |     5138 |      102 | 4.31e-04 | 8.77e-03 || 12.6 |  84.6 |  2.8 |   35.42 |   11.81 |  1387.76 ||   309.90 | 00h00'00
   1.00 |    52400 |     3165 |      100 | 5.90e-05 | 1.91e-03 || 13.2 |  83.7 |  3.0 |   34.99 |   11.66 |  1404.55 ||   330.79 | 00h00'00
#  1.10 |   206768 |     2950 |      100 | 1.39e-05 | 4.84e-04 || 13.3 |  83.7 |  3.1 |   34.65 |   11.55 |  1418.33 ||   333.00 | 00h00'01
   1.20 |   750048 |     2332 |      100 | 3.04e-06 | 1.33e-04 || 13.3 |  83.6 |  3.1 |   34.71 |   11.57 |  1416.03 ||   334.50 | 00h00'06
#  1.30 |  2654496 |      546 |      100 | 2.01e-07 | 3.77e-05 || 13.3 |  83.6 |  3.1 |   34.53 |   11.51 |  1423.50 ||   334.13 | 00h00'24
   1.40 |  4260480 |      240 |      100 | 5.50e-08 | 2.35e-05 || 13.3 |  83.6 |  3.1 |   34.61 |   11.54 |  1420.11 ||   334.34 | 00h00'39
#  1.50 |  5420864 |      212 |      100 | 3.82e-08 | 1.84e-05 || 13.3 |  83.6 |  3.1 |   34.54 |   11.51 |  1422.97 ||   333.45 | 00h00'49
   1.60 |  7505936 |      136 |      100 | 1.77e-08 | 1.33e-05 || 13.3 |  83.6 |  3.1 |   34.49 |   11.50 |  1424.92 ||   334.07 | 00h01'09
#  1.70 | 11831984 |      139 |      100 | 1.15e-08 | 8.45e-06 || 13.3 |  83.6 |  3.1 |   34.56 |   11.52 |  1422.23 ||   334.27 | 00h01'48
   1.80 |  8858080 |      130 |      100 | 1.43e-08 | 1.13e-05 || 13.3 |  83.7 |  3.1 |   34.52 |   11.51 |  1423.98 ||   334.23 | 00h01'21
#  1.90 | 11574208 |      131 |      100 | 1.11e-08 | 8.64e-06 || 13.3 |  83.6 |  3.1 |   34.63 |   11.54 |  1419.37 ||   334.50 | 00h01'46
   2.00 | 18667520 |      129 |      100 | 6.75e-09 | 5.36e-06 || 13.3 |  83.6 |  3.1 |   34.50 |   11.50 |  1424.74 ||   333.88 | 00h02'51
#  2.10 | 16896704 |      127 |      100 | 7.34e-09 | 5.92e-06 || 13.2 |  83.7 |  3.1 |   34.48 |   11.49 |  1425.51 ||   333.98 | 00h02'35
#  2.20 | 25948336 |      109 |      100 | 4.10e-09 | 3.85e-06 || 13.2 |  83.7 |  3.1 |   34.41 |   11.47 |  1428.25 ||   333.56 | 00h03'58
#  2.30 | 26227888 |      122 |      100 | 4.54e-09 | 3.81e-06 || 13.3 |  83.7 |  3.1 |   34.54 |   11.51 |  1423.24 ||   334.32 | 00h04'01
#  2.40 | 31515040 |      108 |      100 | 3.35e-09 | 3.17e-06 || 13.3 |  83.7 |  3.1 |   34.47 |   11.49 |  1425.88 ||   333.87 | 00h04'49
